classifier,score_name,scoring,scoring avg,data
AdaBoost,roc_auc,[0.61654894 0.61714779 0.62413294 0.64696016 0.63809845],0.6285776563716119,individuals per game and player
AdaBoost,roc_auc_ovr,[0.61654894 0.61714779 0.62413294 0.64696016 0.63809845],0.6285776563716119,individuals per game and player
AdaBoost,roc_auc_ovo,[0.61654894 0.61714779 0.62413294 0.64696016 0.63809845],0.6285776563716119,individuals per game and player
AdaBoost,roc_auc_ovr_weighted,[0.61654894 0.61714779 0.62413294 0.64696016 0.63809845],0.6285776563716119,individuals per game and player
AdaBoost,roc_auc_ovo_weighted,[0.61654894 0.61714779 0.62413294 0.64696016 0.63809845],0.6285776563716119,individuals per game and player
Naive Bayes,accuracy,[0.63604194 0.63158585 0.57155963 0.67653997 0.62332896],0.6278112712975098,individuals per game and player
Naive Bayes,balanced_accuracy,[0.65710093 0.63087937 0.57133941 0.68980979 0.62157588],0.634141075095575,individuals per game and player
Naive Bayes,average_precision,[0.75630928 0.65285851 0.65695575 0.71467113 0.69805054],0.6957690399171943,individuals per game and player
Naive Bayes,neg_brier_score,[-0.24538763 -0.24943144 -0.27082347 -0.24225275 -0.24261709],-0.250102476067591,individuals per game and player
Naive Bayes,f1,[0.50893015 0.65041661 0.58916677 0.62251453 0.64744848],0.6036953091785882,individuals per game and player
Naive Bayes,f1_micro,[0.63604194 0.63158585 0.57155963 0.67653997 0.62332896],0.6278112712975098,individuals per game and player
Naive Bayes,f1_macro,[0.60990495 0.63051375 0.57077125 0.66977595 0.62155767],0.6205047150953789,individuals per game and player
Naive Bayes,f1_weighted,[0.60291744 0.63189104 0.57204906 0.66649305 0.62335611],0.6193413394254814,individuals per game and player
Naive Bayes,neg_log_loss,[-0.85961359 -0.84152703 -1.02653815 -0.76272749 -0.78807515],-0.8556962819716605,individuals per game and player
Naive Bayes,precision,[0.91307107 0.66002019 0.60459118 0.82790887 0.64808448],0.7307351569858231,individuals per game and player
Naive Bayes,recall,[0.35278254 0.6410885  0.5745098  0.49877451 0.64681373],0.5427938172081777,individuals per game and player
Naive Bayes,jaccard,[0.34131879 0.48193881 0.417602   0.45192094 0.47868674],0.4342934552189696,individuals per game and player
Naive Bayes,roc_auc,[0.71280916 0.66511897 0.63835315 0.69719925 0.67897321],0.6784907494617196,individuals per game and player
Naive Bayes,roc_auc_ovr,[0.71280916 0.66511897 0.63835315 0.69719925 0.67897321],0.6784907494617196,individuals per game and player
Naive Bayes,roc_auc_ovo,[0.71280916 0.66511897 0.63835315 0.69719925 0.67897321],0.6784907494617196,individuals per game and player
Naive Bayes,roc_auc_ovr_weighted,[0.71280916 0.66511897 0.63835315 0.69719925 0.67897321],0.6784907494617196,individuals per game and player
Naive Bayes,roc_auc_ovo_weighted,[0.71280916 0.66511897 0.63835315 0.69719925 0.67897321],0.6784907494617196,individuals per game and player
QDA,accuracy,[0.5570118  0.57955439 0.58387942 0.58217562 0.57785059],0.5760943643512451,individuals per game and player
QDA,balanced_accuracy,[0.56133237 0.58792033 0.57934618 0.58642537 0.57014119],0.5770330854090575,individuals per game and player
QDA,average_precision,[0.64526351 0.59562122 0.66915261 0.70058705 0.67135624],0.6563961262528203,individuals per game and player
QDA,neg_brier_score,[-0.3462603  -0.34661977 -0.3321632  -0.3393801  -0.33814202],-0.34051307872305436,individuals per game and player
QDA,f1,[0.54630872 0.54288971 0.62359218 0.57345464 0.63310172],0.5838693950471123,individuals per game and player
QDA,f1_micro,[0.5570118  0.57955439 0.58387942 0.58217562 0.57785059],0.5760943643512451,individuals per game and player
QDA,f1_macro,[0.55676512 0.5768319  0.57919536 0.58200089 0.56805526],0.5725697035701758,individuals per game and player
QDA,f1_weighted,[0.55604153 0.57448308 0.58227928 0.58140724 0.57257356],0.5733569376349654,individuals per game and player
QDA,neg_log_loss,[-3.12776239 -3.07510967 -2.21721651 -1.58968391 -2.28968988],-2.4598924708907948,individuals per game and player
QDA,precision,[0.60367843 0.64817965 0.60390356 0.63140837 0.59140243],0.6157144879051264,individuals per game and player
QDA,recall,[0.49889679 0.46702623 0.64460784 0.5252451  0.68112745],0.5633806825009975,individuals per game and player
QDA,jaccard,[0.37580794 0.3725797  0.45305771 0.40198837 0.46316667],0.4133200770324044,individuals per game and player
QDA,roc_auc,[0.58896095 0.58419911 0.6389012  0.63300124 0.62328141],0.6136687848429302,individuals per game and player
QDA,roc_auc_ovr,[0.58898049 0.58461639 0.6389012  0.63300124 0.62328141],0.6137561470208788,individuals per game and player
QDA,roc_auc_ovo,[0.58898049 0.58461639 0.6389012  0.63300124 0.62328141],0.6137561470208788,individuals per game and player
QDA,roc_auc_ovr_weighted,[0.58898049 0.58461639 0.6389012  0.63300124 0.62328141],0.6137561470208788,individuals per game and player
QDA,roc_auc_ovo_weighted,[0.58898049 0.58461639 0.6389012  0.63300124 0.62328141],0.6137561470208788,individuals per game and player
ExtraTrees,accuracy,[0.52280472 0.43564875 0.5904325  0.44469201 0.59200524],0.5171166448230669,individuals per game and player
ExtraTrees,balanced_accuracy,[0.55243201 0.42256245 0.59037697 0.45488919 0.56831883],0.5177158896428028,individuals per game and player
ExtraTrees,average_precision,[0.64654776 0.42058334 0.54905938 0.4391012  0.51275145],0.51360862365588,individuals per game and player
ExtraTrees,neg_brier_score,[-0.35893889 -0.46488047 -0.32213522 -0.45335924 -0.30120244],-0.38010325032765396,individuals per game and player
ExtraTrees,f1,[0.21783029 0.53679002 0.60686879 0.37238928 0.70445267],0.48766620879301953,individuals per game and player
ExtraTrees,f1_micro,[0.52280472 0.43564875 0.5904325  0.44469201 0.59200524],0.5171166448230669,individuals per game and player
ExtraTrees,f1_macro,[0.43725084 0.40739568 0.58971534 0.43722296 0.52294772],0.4789065081257545,individuals per game and player
ExtraTrees,f1_weighted,[0.42206682 0.41634984 0.59090686 0.43271944 0.53555554],0.47951969971641856,individuals per game and player
ExtraTrees,neg_log_loss,[-5.55448096 -9.91976105 -4.81316608 -7.75371357 -4.36319507],-6.480863346310793,individuals per game and player
ExtraTrees,precision,[0.88020833 0.4782442  0.6234169  0.47061026 0.57492639],0.6054812175461272,individuals per game and player
ExtraTrees,recall,[0.12429517 0.61166953 0.59117647 0.30808824 0.90931373],0.5089086257204525,individuals per game and player
ExtraTrees,jaccard,[0.12222758 0.36685782 0.43561495 0.22879505 0.54374908],0.33944889633099395,individuals per game and player
ExtraTrees,roc_auc,[0.49779299 0.31082274 0.54494484 0.33422704 0.53826937],0.44521139522616,individuals per game and player
ExtraTrees,roc_auc_ovr,[0.49779299 0.31082274 0.54494484 0.33422704 0.53826937],0.44521139522616,individuals per game and player
ExtraTrees,roc_auc_ovo,[0.49779299 0.31082274 0.54494484 0.33422704 0.53826937],0.44521139522616,individuals per game and player
ExtraTrees,roc_auc_ovr_weighted,[0.49779299 0.31082274 0.54494484 0.33422704 0.53826937],0.44521139522616,individuals per game and player
ExtraTrees,roc_auc_ovo_weighted,[0.49779299 0.31082274 0.54494484 0.33422704 0.53826937],0.44521139522616,individuals per game and player
GradientBoosting,accuracy,[0.60249017 0.53944954 0.56684142 0.59449541 0.57129751],0.5749148099606816,individuals per game and player
GradientBoosting,balanced_accuracy,[0.62322368 0.52370954 0.56035936 0.60006732 0.55607325],0.5726866303828515,individuals per game and player
GradientBoosting,average_precision,[0.73547914 0.65666095 0.68073753 0.62779018 0.67944403],0.6760223634400241,individuals per game and player
GradientBoosting,neg_brier_score,[-0.25794524 -0.27254123 -0.28327502 -0.26802261 -0.25673003],-0.2677028240630799,individuals per game and player
GradientBoosting,f1,[0.46536224 0.63555279 0.61743257 0.57824427 0.65916432],0.5911512404570363,individuals per game and player
GradientBoosting,f1_micro,[0.60249017 0.53944954 0.56684142 0.59449541 0.57129751],0.5749148099606816,individuals per game and player
GradientBoosting,f1_macro,[0.57449817 0.50503165 0.55913163 0.59389246 0.54077764],0.5546663077196635,individuals per game and player
GradientBoosting,f1_weighted,[0.5669459  0.51406378 0.56318137 0.59280549 0.54900109],0.5571995266269176,individuals per game and player
GradientBoosting,neg_log_loss,[-0.73798764 -0.78168171 -0.82869447 -0.81533511 -0.72949286],-0.7786383581566587,individuals per game and player
GradientBoosting,precision,[0.8281054  0.55078195 0.58499671 0.65141278 0.57331883],0.6377231332665365,individuals per game and player
GradientBoosting,recall,[0.32360873 0.7511645  0.65367647 0.51985294 0.7752451 ],0.6047095477072909,individuals per game and player
GradientBoosting,jaccard,[0.30323915 0.46579507 0.44658406 0.40671141 0.49160709],0.42278735511876864,individuals per game and player
GradientBoosting,roc_auc,[0.66668115 0.60164991 0.61160073 0.59850901 0.64046393],0.6237809452205192,individuals per game and player
GradientBoosting,roc_auc_ovr,[0.66668115 0.60164991 0.61160073 0.59850901 0.64046393],0.6237809452205192,individuals per game and player
GradientBoosting,roc_auc_ovo,[0.66668115 0.60164991 0.61160073 0.59850901 0.64046393],0.6237809452205192,individuals per game and player
GradientBoosting,roc_auc_ovr_weighted,[0.66668115 0.60164991 0.61160073 0.59850901 0.64046393],0.6237809452205192,individuals per game and player
GradientBoosting,roc_auc_ovo_weighted,[0.66668115 0.60164991 0.61160073 0.59850901 0.64046393],0.6237809452205192,individuals per game and player
Nearest Neighbors,accuracy,[0.60144928 0.10218978 0.0729927  0.22627737 0.40145985],0.2808737966783032,individuals per player
Nearest Neighbors,balanced_accuracy,[0.5        0.08433735 0.06696231 0.2518847  0.5       ],0.280636871209895,individuals per player
Nearest Neighbors,average_precision,[0.42042161 0.39416058 0.36893025 0.33532933 0.41044776],0.3858579068343509,individuals per player
Nearest Neighbors,neg_brier_score,[-0.39049919 -0.80940795 -0.87996756 -0.77047851 -0.5863747 ],-0.6873455810618616,individuals per player
Nearest Neighbors,f1,[0.         0.         0.03053435 0.28378378 0.57291667],0.1774469603190977,individuals per player
Nearest Neighbors,f1_micro,[0.60144928 0.10218978 0.0729927  0.22627737 0.40145985],0.2808737966783032,individuals per player
Nearest Neighbors,f1_macro,[0.37556561 0.09271523 0.07121123 0.22125697 0.28645833],0.20944147575093752,individuals per player
Nearest Neighbors,f1_weighted,[0.45176733 0.11234108 0.07922784 0.20893417 0.23000304],0.21645469318099417,individuals per player
Nearest Neighbors,neg_log_loss,[-13.2808143  -25.41325032 -28.8656343  -26.48271803 -19.94103898],-22.796691186530456,individuals per player
Nearest Neighbors,precision,[0.         0.         0.02631579 0.22580645 0.40145985],0.13071641902023717,individuals per player
Nearest Neighbors,recall,[0.         0.         0.03636364 0.38181818 1.        ],0.28363636363636363,individuals per player
Nearest Neighbors,jaccard,[0.         0.         0.01550388 0.16535433 0.40145985],0.11646361213845044,individuals per player
Nearest Neighbors,roc_auc,[0.51818182 0.04819277 0.02838137 0.25044346 0.51829268],0.2726984211791735,individuals per player
Nearest Neighbors,roc_auc_ovr,[0.51818182 0.04819277 0.02838137 0.25044346 0.51829268],0.2726984211791735,individuals per player
Nearest Neighbors,roc_auc_ovo,[0.51818182 0.04819277 0.02838137 0.25044346 0.51829268],0.2726984211791735,individuals per player
